GEO_ID,,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E
0500000US12001,12001,Alachua,276171,14036,14173,14005
0500000US12003,12003,"Baker County, Florida",28003,1724,1704,1971
0500000US12005,12005,"Bay County, Florida",181384,10445,10372,11168
0500000US12007,12007,"Bradford County, Florida",27928,1409,1502,1699
0500000US12009,12009,"Brevard County, Florida",601573,27419,28129,34970
0500000US12011,12011,"Broward County, Florida",1934551,109693,107110,123345
0500000US12013,12013,"Calhoun County, Florida",13863,585,762,1018
0500000US12015,12015,"Charlotte County, Florida",184837,5395,6143,6357
0500000US12017,12017,"Citrus County, Florida",151888,5229,5881,7553
0500000US12019,12019,"Clay County, Florida",216308,11642,13691,15578
0500000US12021,12021,"Collier County, Florida",372797,16013,15937,20344
0500000US12023,12023,"Columbia County, Florida",69265,4016,4504,4124
0500000US12027,12027,"DeSoto County, Florida",34027,1662,1679,1822
0500000US12029,12029,"Dixie County, Florida",16701,671,968,828
0500000US12031,12031,"Duval County, Florida",983153,65086,61579,62112
0500000US12033,12033,"Escambia County, Florida",318828,18934,18978,18522
0500000US12035,12035,"Flagler County, Florida",113888,4242,5235,6051
0500000US12037,12037,"Franklin County, Florida",12232,504,515,581
0500000US12039,12039,"Gadsden County, Florida",44233,2574,2609,2861
0500000US12041,12041,"Gilchrist County, Florida",17759,913,766,1106
0500000US12043,12043,"Glades County, Florida",12183,466,457,509
0500000US12045,12045,"Gulf County, Florida",15205,554,798,647
0500000US12047,12047,"Hamilton County, Florida",13973,626,720,920
0500000US12049,12049,"Hardee County, Florida",25632,1712,1754,2181
0500000US12051,12051,"Hendry County, Florida",39439,2862,2467,3526
0500000US12053,12053,"Hernando County, Florida",192128,8597,9194,11290
0500000US12055,12055,"Highlands County, Florida",101174,4516,4556,5356
0500000US12057,12057,"Hillsborough County, Florida",1444359,86171,88016,94042
0500000US12059,12059,"Holmes County, Florida",19622,951,1089,1164
0500000US12061,12061,"Indian River County, Florida",158002,6327,6934,7153
0500000US12063,12063,"Jackson County, Florida",48067,2462,2179,2757
0500000US12065,12065,"Jefferson County, Florida",14405,598,735,702
0500000US12067,12067,"Lafayette County, Florida",8343,307,579,392
0500000US12069,12069,"Lake County, Florida",375059,17993,19966,21620
0500000US12071,12071,"Lee County, Florida",752251,34136,34918,40225
0500000US12073,12073,"Leon County, Florida",290965,14817,14803,15767
0500000US12075,12075,"Levy County, Florida",42392,2113,2162,2606
0500000US12077,12077,"Liberty County, Florida",7987,236,397,355
0500000US12079,12079,"Madison County, Florida",18051,838,870,1085
0500000US12081,12081,"Manatee County, Florida",394824,17899,19520,21498
0500000US12083,12083,"Marion County, Florida",370372,18173,18345,21200
0500000US12085,12085,"Martin County, Florida",158323,6391,6589,8155
0500000US12086,12086,"Miami-Dade County, Florida",2690113,152983,147115,156543
0500000US12087,12087,"Monroe County, Florida",82244,3663,3055,4033
0500000US12089,12089,"Nassau County, Florida",88492,4420,5193,4818
0500000US12091,12091,"Okaloosa County, Florida",209230,13335,13666,12568
0500000US12093,12093,"Okeechobee County, Florida",39716,2373,2113,2460
0500000US12095,12095,"Orange County, Florida",1409949,83391,85412,89692
0500000US12097,12097,"Osceola County, Florida",380331,23444,25525,27408
0500000US12099,12099,"Palm Beach County, Florida",1481233,74632,76577,82833
0500000US12101,12101,"Pasco County, Florida",551598,27973,30471,34521
0500000US12103,12103,"Pinellas County, Florida",957989,40204,42856,44026
0500000US12105,12105,"Polk County, Florida",713148,40682,42784,47561
0500000US12107,12107,"Putnam County, Florida",73147,4173,4494,4501
0500000US12109,12109,"St. Johns County, Florida",265724,12897,15779,18588
0500000US12111,12111,"St. Lucie County, Florida",324599,16111,16351,20679
0500000US12113,12113,"Santa Rosa County, Florida",184345,10160,11098,12183
0500000US12115,12115,"Sarasota County, Florida",429336,14754,15978,18920
0500000US12117,12117,"Seminole County, Florida",467382,24097,28044,28440
0500000US12119,12119,"Sumter County, Florida",127335,2351,2456,2908
0500000US12121,12121,"Suwannee County, Florida",43514,2240,2234,2808
0500000US12123,12123,"Taylor County, Florida",21762,925,1330,1338
0500000US12125,12125,"Union County, Florida",16141,825,918,881
0500000US12127,12127,"Volusia County, Florida",548783,25375,27704,27457
0500000US12129,12129,"Wakulla County, Florida",33144,1580,1828,2124
0500000US12131,12131,"Walton County, Florida",73456,4281,4278,4172
0500000US12133,12133,"Washington County, Florida",24906,988,1357,1654
